,headline,emotion
36,"1 year after carnage on London bridge, victims' families and survivors pay tribute",disgust
37,"1 year after carnage on London bridge, victims' families and survivors pay tribute",sadness
38,10 Reasons to Raise the Minimum Wage (with Charts),neutral
39,10 Reasons to Raise the Minimum Wage (with Charts),neutral
40,10 Signs Trump¡¯s Top Homeland Security Cop Wants to Drag America Into a Paranoid Apocalyptic Police State,neutral
41,10 Signs Trump¡¯s Top Homeland Security Cop Wants to Drag America Into a Paranoid Apocalyptic Police State,anger
42,14th Borderlines rural film festival begins,surprise
43,14th Borderlines rural film festival begins,neutral
44,150 Environmental Films Highlight Water Crisis In International Film Festival,fear
45,150 Environmental Films Highlight Water Crisis In International Film Festival,sadness
46,165 Leaders Gather in NYC to Sign Controversial COP21 Deal,joy
47,165 Leaders Gather in NYC to Sign Controversial COP21 Deal,fear
48,1940: Italy Declares War on Britain,fear
49,1940: Italy Declares War on Britain,fear
50,2 killed in Afghanistan helicopter crash,sadness
51,2 killed in Afghanistan helicopter crash,sadness
52,2010 Is Just a Scrambled Remix of 1980,surprise
53,2010 Is Just a Scrambled Remix of 1980,neutral
54,2012 Academy Award Nominees' Homes,neutral
55,2012 Academy Award Nominees' Homes,neutral
56,2019 European elections: List of candidates,neutral
57,2019 European elections: List of candidates,neutral
58,23andMe gets FDA approval to report breast cancer risk without a doctor,neutral
59,23andMe gets FDA approval to report breast cancer risk without a doctor,joy
60,3 Utah State University officials dismissed from a lawsuit,neutral
61,3 Utah State University officials dismissed from a lawsuit,fear
62,"40% of people with HIV transmit most new infections in the US, a new analysis says. Here's the plan to stop the spread",fear
63,"40% of people with HIV transmit most new infections in the US, a new analysis says. Here's the plan to stop the spread",sadness
64,40-Year-Old Mom Fighting A Kidney Disease Fulfills Her Dream Of Becoming An NFL Cheerleader,neutral
65,40-Year-Old Mom Fighting A Kidney Disease Fulfills Her Dream Of Becoming An NFL Cheerleader,joy
66,460 Million Chinese Residents Suffering From 'Airpocalypse',sadness
67,460 Million Chinese Residents Suffering From 'Airpocalypse',sadness
68,5 Reasons LeBron James's School Really Is Unique,disgust
69,5 Reasons LeBron James's School Really Is Unique,neutral
70,5 Secrets to Achieving and Maintaining Work-Life Balance,neutral
71,5 Secrets to Achieving and Maintaining Work-Life Balance,surprise
72,6 Tax Filing Myths Debunked: The IRS Clarifies Common Tax Filing Rumors,fear
73,6 Tax Filing Myths Debunked: The IRS Clarifies Common Tax Filing Rumors,neutral
74,7 killed in tourist bus accident on Bali,fear
75,7 killed in tourist bus accident on Bali,sadness
76,7.5 Million Californians May Be Using Water With ¡®Forever Chemicals¡¯ Possibly Linked To Cancer,fear
77,7.5 Million Californians May Be Using Water With ¡®Forever Chemicals¡¯ Possibly Linked To Cancer,sadness
78,"70 years later, World War II Marine gets funeral",surprise
79,"70 years later, World War II Marine gets funeral",neutral
80,"8 Perfect Automotive, Motorcycle and Tech Gifts ",neutral
81,"8 Perfect Automotive, Motorcycle and Tech Gifts ",neutral
82,: TV That Was Too Funny for Its Time,joy
83,: TV That Was Too Funny for Its Time,joy
84,A Cautionary Tale,sadness
85,A Cautionary Tale,fear
86,A Chain of Corporate Newspapers Could Make the Difference in Montana¡¯s Special Election,sadness
87,A Chain of Corporate Newspapers Could Make the Difference in Montana¡¯s Special Election,surprise
88,A Chaos of Experimentation,neutral
89,A Chaos of Experimentation,neutral
90,A Different Kind of Journalism,surprise
91,A Different Kind of Journalism,neutral
92,A Few Thoughts on Rob Porter,neutral
93,A Few Thoughts on Rob Porter,neutral
94,A Former NXIVM "Cult" Member Says She And Her Two Sisters Had To Have Abortions After Sex With Keith Raniere,sadness
95,A Former NXIVM "Cult" Member Says She And Her Two Sisters Had To Have Abortions After Sex With Keith Raniere,disgust
96,A Late Score Spares City a 4th-Round F.A. Cup Exit,joy
97,A Late Score Spares City a 4th-Round F.A. Cup Exit,joy
98,A Low-Down Crying Shame,disgust
99,A Low-Down Crying Shame,anger
100,A Make-or-Break Moment for Democracy,surprise
101,A Make-or-Break Moment for Democracy,fear
102,A McDonald¡¯s Tweet Called Donald Trump 'a Disgusting Excuse of a President',neutral
103,A McDonald¡¯s Tweet Called Donald Trump 'a Disgusting Excuse of a President',disgust
104,"A New Aly & AJ Song Dropped, So of Course We¡¯re Gonna Write About It",neutral
105,"A New Aly & AJ Song Dropped, So of Course We¡¯re Gonna Write About It",neutral
106,A Path out of Purgatory,neutral
107,A Path out of Purgatory,neutral
108,A Robot Butt Named Patrick Helps Medical Students Practice Intimate Exams,surprise
109,A Robot Butt Named Patrick Helps Medical Students Practice Intimate Exams,surprise
110,A Russia expert explains how Putin will likely respond to his downed plane,neutral
111,A Russia expert explains how Putin will likely respond to his downed plane,fear
112,A Trump Tower Goes Bust in Canada,sadness
113,A Trump Tower Goes Bust in Canada,neutral
114,A lesson on racial discrimination,anger
115,A lesson on racial discrimination,neutral
116,A place at the table,joy
117,A place at the table,neutral
118,A radical proposal to get Donald Trump reelected in 2020,joy
119,A radical proposal to get Donald Trump reelected in 2020,anger
120,"A.M. Links: Trump Weighs Paris Climate Change Agreement, James Comey to Testify Before Senate, Obamas Buy $8.1 Million House in D.C.",joy
121,"A.M. Links: Trump Weighs Paris Climate Change Agreement, James Comey to Testify Before Senate, Obamas Buy $8.1 Million House in D.C.",neutral
122,AAA auto club says not all gasoline is the same,neutral
123,AAA auto club says not all gasoline is the same,neutral
124,AB Volvo to partner with Nvidia to develop AI platform for driverless trucks,fear
125,AB Volvo to partner with Nvidia to develop AI platform for driverless trucks,neutral
126,AFA to Target: 'What Will it Take... to Reverse Your Restroom Policy?',neutral
127,AFA to Target: 'What Will it Take... to Reverse Your Restroom Policy?',neutral
128,ATM for Senate: The Campaign of Jon Corzine of New Jersey,neutral
129,ATM for Senate: The Campaign of Jon Corzine of New Jersey,neutral
130,Aberdeen unit will focus heavily on gang activities,disgust
131,Aberdeen unit will focus heavily on gang activities,neutral
132,Abortion as a cover war,anger
133,Abortion as a cover war,neutral
134,About 2 million Ford pickup trucks recalled after seat belt mechanism sparks fires,surprise
135,About 2 million Ford pickup trucks recalled after seat belt mechanism sparks fires,neutral
136,Abramoffed,neutral
137,Abramoffed,disgust
138,Adam Baldwin Quits Twitter Over ¡®Censorship¡¯,disgust
139,Adam Baldwin Quits Twitter Over ¡®Censorship¡¯,disgust
140,Adding Dimension to the Storytelling,neutral
141,Adding Dimension to the Storytelling,neutral
142,"Adios, Johnny Reb",anger
143,"Adios, Johnny Reb",sadness
144,Afghan candidates protest at 'flawed' general election,neutral
145,Afghan candidates protest at 'flawed' general election,disgust
146,"After Taking Leave of Absence to Recover From Knee Surgery, Veteran Returns to His NY Home to Make Truly ¡®Shocking Discovery¡¯",neutral
147,"After Taking Leave of Absence to Recover From Knee Surgery, Veteran Returns to His NY Home to Make Truly ¡®Shocking Discovery¡¯",surprise
148,Again and Again,surprise
149,Again and Again,neutral
150,Age And Healthcare Reform,neutral
151,Age And Healthcare Reform,neutral
152,Al Charlatan ¡ª The Race Baiter¡¯s Race ta Wanna a Brawl[ey],disgust
153,Al Charlatan ¡ª The Race Baiter¡¯s Race ta Wanna a Brawl[ey],disgust
154,Al Qaeda's al-Zawahiri calls on Saudis to rise up ,neutral
155,Al Qaeda's al-Zawahiri calls on Saudis to rise up ,fear
156,Aldrin Laments Lost Chances for Cronkite,sadness
157,Aldrin Laments Lost Chances for Cronkite,fear
158,Alexandria Ocasio Cortez: ¡®It Would Be An Honor¡¯ To Be Bernie Sanders¡¯ Veep,neutral
159,Alexandria Ocasio Cortez: ¡®It Would Be An Honor¡¯ To Be Bernie Sanders¡¯ Veep,joy
160,American Caresource Holdings announces Steven Armond joins American CareSource Holdings as CFO,neutral
161,American Caresource Holdings announces Steven Armond joins American CareSource Holdings as CFO,neutral
162,American Theater¡¯s Special Rules For Jews,neutral
163,American Theater¡¯s Special Rules For Jews,neutral
164,"American climbers killed in Peru likely fell 1,000 feet",sadness
165,"American climbers killed in Peru likely fell 1,000 feet",sadness
166,Americans Are Right To Be Skeptical Of Policymakers Who Don¡¯t Know How To Talk About Guns,anger
167,Americans Are Right To Be Skeptical Of Policymakers Who Don¡¯t Know How To Talk About Guns,fear
168,An Improvement to Ben Carson¡¯s Public-Housing Proposal,neutral
169,An Improvement to Ben Carson¡¯s Public-Housing Proposal,neutral
170,"Anarchy, Swamp, and Utopia",fear
171,"Anarchy, Swamp, and Utopia",neutral
172,"Andretti, Hancock among LOC awardees",joy
173,"Andretti, Hancock among LOC awardees",neutral
174,Andrew McCutchen on the Mets¡¯ radar ¡ª again,neutral
175,Andrew McCutchen on the Mets¡¯ radar ¡ª again,fear
176,Android Co-Founder Rich Miner on Why He's Rarely Wrong,neutral
177,Android Co-Founder Rich Miner on Why He's Rarely Wrong,surprise
178,AngelList has acquired Product Hunt for around $20 million,surprise
179,AngelList has acquired Product Hunt for around $20 million,surprise
180,Angels rally for 4 runs in 7th inning to beat White Sox 6-5,surprise
181,Angels rally for 4 runs in 7th inning to beat White Sox 6-5,neutral
182,Ann Coulter Goes to the Movies,neutral
183,Ann Coulter Goes to the Movies,fear
184,Anthony Kennedy: The Most Important Voter In America,neutral
185,Anthony Kennedy: The Most Important Voter In America,neutral
186,Anti-Semitic Doc Fired After Threatening to Give Jews 'Wrong Meds' but Still Has Medical License,anger
187,Anti-Semitic Doc Fired After Threatening to Give Jews 'Wrong Meds' but Still Has Medical License,anger
188,Apple To Unveil New iPhone On September 7,neutral
189,Apple To Unveil New iPhone On September 7,neutral
190,Apple's Cash Pile To Grow 0.198% After Beating Samsung In Court,disgust
191,Apple's Cash Pile To Grow 0.198% After Beating Samsung In Court,neutral
192,Are We Alone? The Question is Worthy of Serious Scientific Study,surprise
193,Are We Alone? The Question is Worthy of Serious Scientific Study,neutral
194,"Aretha Franklin: I Power Walk the 'Aisles' of Walmart, K-Mart",fear
195,"Aretha Franklin: I Power Walk the 'Aisles' of Walmart, K-Mart",joy
196,Arroyo's Fun at the Giro Rolls on After Vicious Climb,joy
197,Arroyo's Fun at the Giro Rolls on After Vicious Climb,neutral
198,ArtPrize fattens prize purses,neutral
199,ArtPrize fattens prize purses,neutral
200,As Isolation Gives Way To Parties...A Tidy Gene Pool Pays Off Big,neutral
201,As Isolation Gives Way To Parties...A Tidy Gene Pool Pays Off Big,joy
202,"As Vice President Dick Cheney Tours Arab Nations to Drum Up Support for a U.S. Attack Oniraq, the Founder of Peace Studies Talks About the Lessons of War",neutral
203,"As Vice President Dick Cheney Tours Arab Nations to Drum Up Support for a U.S. Attack Oniraq, the Founder of Peace Studies Talks About the Lessons of War",joy
204,Asbestos defendants succeeding in rare Madison County trials,neutral
205,Asbestos defendants succeeding in rare Madison County trials,joy
206,"At Historically Black Colleges, the National Discussion of Sexual Abuse Takes On Fraught Layer of Racial Politics",disgust
207,"At Historically Black Colleges, the National Discussion of Sexual Abuse Takes On Fraught Layer of Racial Politics",neutral
208,"Attn, DC Reasonoids: Ronald Bailey on the Precautionary Principle and the Politics of Fear, Feb. 14",neutral
209,"Attn, DC Reasonoids: Ronald Bailey on the Precautionary Principle and the Politics of Fear, Feb. 14",neutral
210,"Attorney: More women joining lawsuit against Columbia Univ., doctor accused of sex abuse",disgust
211,"Attorney: More women joining lawsuit against Columbia Univ., doctor accused of sex abuse",disgust
212,"Auditors Find 84,000 Duplicate Voter Records On California¡¯s Rolls",neutral
213,"Auditors Find 84,000 Duplicate Voter Records On California¡¯s Rolls",surprise
214,"Austin Riley homers in MLB debut, Braves blank Cardinals 4-0",surprise
215,"Austin Riley homers in MLB debut, Braves blank Cardinals 4-0",surprise
216,Australia flog Sri Lanka in first Test at the Gabba,surprise
217,Australia flog Sri Lanka in first Test at the Gabba,neutral
218,BBC Introducing Lincolnshire: Hype-O in session,neutral
219,BBC Introducing Lincolnshire: Hype-O in session,neutral
220,"BONUS MORON ALERT: Kamala Harris Spreads #FakeNews, Compares Trump to ISIS",disgust
221,"BONUS MORON ALERT: Kamala Harris Spreads #FakeNews, Compares Trump to ISIS",neutral
222,BREAKING: Small Plane Crashes into School,neutral
223,BREAKING: Small Plane Crashes into School,sadness
224,"BRIEF-JPMorgan set to be underwriter on Saudi Aramco IPO- FT, citing sources",disgust
225,"BRIEF-JPMorgan set to be underwriter on Saudi Aramco IPO- FT, citing sources",neutral
226,BRIEF-Linz Textil Holding says announces restructuring and planned change in the operational management,neutral
227,BRIEF-Linz Textil Holding says announces restructuring and planned change in the operational management,neutral
228,Bachmann Establishes Foreign Policy Credentials,neutral
229,Bachmann Establishes Foreign Policy Credentials,neutral
230,Bachmann Tops Another Iowa Poll,neutral
231,Bachmann Tops Another Iowa Poll,neutral
232,Bachmann: The ACLU Is Running The CIA Under Obama,neutral
233,Bachmann: The ACLU Is Running The CIA Under Obama,neutral
234,Balloon Poking Fun at Mayor Sadiq Khan Flies Over London,neutral
235,Balloon Poking Fun at Mayor Sadiq Khan Flies Over London,neutral
236,Baltasar Garz¨®n habla del procesamiento de los torturadores y de los cr¨ªmenes cometidos durante el gobierno de Franco y del asesinato de Bin Laden,neutral
237,Baltasar Garz¨®n habla del procesamiento de los torturadores y de los cr¨ªmenes cometidos durante el gobierno de Franco y del asesinato de Bin Laden,disgust
238,Barclays finds an ally in China in struggle for ABN Amro,neutral
239,Barclays finds an ally in China in struggle for ABN Amro,neutral
240,Barnes & Noble Cuts Price for Nook Electronic Reader,joy
241,Barnes & Noble Cuts Price for Nook Electronic Reader,joy
242,Batteries Included: 4 Ways Apple Could Power a Smartwatch,joy
243,Batteries Included: 4 Ways Apple Could Power a Smartwatch,neutral
244,Battle lines drawn as English and French clubs hit out at World Rugby plans,neutral
245,Battle lines drawn as English and French clubs hit out at World Rugby plans,anger
246,Battle of the Youth Bulge,neutral
247,Battle of the Youth Bulge,disgust
248,Bayern Munich 5-0 Werder Bremen: Thomas Muller and Thiago Alcantara at the double as Pep Guardiola's men run riot?,neutral
249,Bayern Munich 5-0 Werder Bremen: Thomas Muller and Thiago Alcantara at the double as Pep Guardiola's men run riot?,joy
250,Bayern Munich newcomer Douglas Costa looking to emulate success of Franck Ribery at the Allianz Arena,neutral
251,Bayern Munich newcomer Douglas Costa looking to emulate success of Franck Ribery at the Allianz Arena,neutral
252,Be Afraid: Be Very Afraid,fear
253,Be Afraid: Be Very Afraid,fear
254,Bearden created the visual equivalent of jazz,sadness
255,Bearden created the visual equivalent of jazz,joy
256,Ben Carson: Muslim president a 'theoretical' idea,neutral
257,Ben Carson: Muslim president a 'theoretical' idea,neutral
258,Best and worst cases in Syria,sadness
259,Best and worst cases in Syria,neutral
260,Best nonfiction 2004,neutral
261,Best nonfiction 2004,surprise
262,Beverly Bell: There Is No Plan for Permanently Housing the 1.9 Million Haitians Who Lost Their Homes in the Quake,anger
263,Beverly Bell: There Is No Plan for Permanently Housing the 1.9 Million Haitians Who Lost Their Homes in the Quake,disgust
264,Beyond the Stimulus Package,neutral
265,Beyond the Stimulus Package,neutral
266,Biden on GOP in Iowa: 'What are these guys?',surprise
267,Biden on GOP in Iowa: 'What are these guys?',neutral
268,Biden's post-debate South Carolina support: Strong ¡ª but not certain,surprise
269,Biden's post-debate South Carolina support: Strong ¡ª but not certain,disgust
270,Biden¡¯s Other Big Debate Lie,disgust
271,Biden¡¯s Other Big Debate Lie,neutral
272,Big Bird & Elmo Are Ruined for Me,sadness
273,Big Bird & Elmo Are Ruined for Me,neutral
274,Bill Clinton leads conference in St. Louis,surprise
275,Bill Clinton leads conference in St. Louis,neutral
276,"Bill Cosby accuser says he had her put oatmeal on her face, act like a queen",disgust
277,"Bill Cosby accuser says he had her put oatmeal on her face, act like a queen",neutral
278,Bin Laden: Americans will die if alleged 9/11 mastermind is executed,anger
279,Bin Laden: Americans will die if alleged 9/11 mastermind is executed,fear
280,Bint Jbail,neutral
281,Bint Jbail,neutral
282,Bit of Indy in Brooklyn,neutral
283,Bit of Indy in Brooklyn,neutral
284,Blair Cares,neutral
285,Blair Cares,neutral
286,Blood on His Hands,anger
287,Blood on His Hands,anger
288,Blowout,surprise
289,Blowout,sadness
290,Bob Mondello: The Year's Top 10 (And Friends),surprise
291,Bob Mondello: The Year's Top 10 (And Friends),neutral
292,Boehner Successfully Reduces House Spending,surprise
293,Boehner Successfully Reduces House Spending,joy
294,Bolsonaro despreza os nordestinos. E ele n?o est¨¢ sozinho.,neutral
295,Bolsonaro despreza os nordestinos. E ele n?o est¨¢ sozinho.,neutral
296,Bombshell Accusation: 100 Michigan Girls May Have Had Genitals Cut by Muslim Doc,anger
297,Bombshell Accusation: 100 Michigan Girls May Have Had Genitals Cut by Muslim Doc,anger
298,Boo! The Most Awkward Halloween Family Photos,anger
299,Boo! The Most Awkward Halloween Family Photos,joy
300,"Book News: Twitter Tirades, E-Book Price Wars",neutral
301,"Book News: Twitter Tirades, E-Book Price Wars",neutral
302,Book offers a road map for attention meds,neutral
303,Book offers a road map for attention meds,neutral
304,Book throws 5 TDs as No. 9 Notre Dame routs Bowling Green,neutral
305,Book throws 5 TDs as No. 9 Notre Dame routs Bowling Green,joy
306,Bookies Betting On Obama,neutral
307,Bookies Betting On Obama,neutral
308,"Breaking Truce, Israeli Strikes Kill ¡°Moderate¡± Hamas Military Chief, Palestinian Civilians in Gaza",disgust
309,"Breaking Truce, Israeli Strikes Kill ¡°Moderate¡± Hamas Military Chief, Palestinian Civilians in Gaza",surprise
310,Britain changes rules to fast-track shale gas permits,joy
311,Britain changes rules to fast-track shale gas permits,neutral
312,Britain¡¯s Politics Are Moving Left ¡ª and Right,neutral
313,Britain¡¯s Politics Are Moving Left ¡ª and Right,joy
314,Brixton Thatcher party: Women arrested,disgust
315,Brixton Thatcher party: Women arrested,surprise
316,Broadcom's higher bid for Qualcomm would put one chip company in many smartphones,sadness
317,Broadcom's higher bid for Qualcomm would put one chip company in many smartphones,fear
318,Brodner¡¯s Cartoon du Jour: What Must They Be Thinking?,surprise
319,Brodner¡¯s Cartoon du Jour: What Must They Be Thinking?,surprise
320,"Broken Ribs, Face Hold Reid Out of Senate's Opening Ceremonies",neutral
321,"Broken Ribs, Face Hold Reid Out of Senate's Opening Ceremonies",disgust
322,"Brooklyn College spends $107,000 on outside design firm to ax supposedly phallic logo",disgust
323,"Brooklyn College spends $107,000 on outside design firm to ax supposedly phallic logo",disgust
324,"Budweiser Launches Complicated, Flag-Themed Marketing Campaign For Pride Month",neutral
325,"Budweiser Launches Complicated, Flag-Themed Marketing Campaign For Pride Month",disgust
326,Bush Rules Out a Brokered Candidacy,neutral
327,Bush Rules Out a Brokered Candidacy,neutral
328,Bush's Casual Clothes: The 'Ready For Retirement' Look (PHOTOS),neutral
329,Bush's Casual Clothes: The 'Ready For Retirement' Look (PHOTOS),neutral
330,Bushcricket Bondage,sadness
331,Bushcricket Bondage,surprise
332,Bushmaster to Face Families' Suit Over Sandy Hook Massacre,sadness
333,Bushmaster to Face Families' Suit Over Sandy Hook Massacre,neutral
334,CA Pro-life Activists Rally in Sacramento to Protest 'Free' Chemical Abortions at Public Colleges  ,disgust
335,CA Pro-life Activists Rally in Sacramento to Protest 'Free' Chemical Abortions at Public Colleges  ,anger
336,CBO: Trump tariffs cutting into economy,anger
337,CBO: Trump tariffs cutting into economy,neutral
338,CEO,neutral
339,CEO,neutral
340,CIA Interrogations Have Their Day in Court,anger
341,CIA Interrogations Have Their Day in Court,neutral
342,CLEOPATRA,neutral
343,CLEOPATRA,neutral
344,CNN Does Not Know How To Question Ilhan Omar¡¯s Conspiracy Theories And Anti-Semitism,joy
345,CNN Does Not Know How To Question Ilhan Omar¡¯s Conspiracy Theories And Anti-Semitism,joy
346,CNN Still Hasn¡¯t Corrected Report Claiming Trump Knew About Trump Tower Meeting,surprise
347,CNN Still Hasn¡¯t Corrected Report Claiming Trump Knew About Trump Tower Meeting,disgust
348,"CNN¡¯s Stelter Tries To Use Drudge To Deflect Criticism, Gets Smacked Hard",sadness
349,"CNN¡¯s Stelter Tries To Use Drudge To Deflect Criticism, Gets Smacked Hard",joy
350,CREDIT: Corporate Credit-Default Swap Indexes Fall in Europe,neutral
351,CREDIT: Corporate Credit-Default Swap Indexes Fall in Europe,fear
352,Cabrera Takes Grounder To The Face,neutral
353,Cabrera Takes Grounder To The Face,fear
354,Caitlyn Jenner Forged Olympic Glory and Cultural Fame Decades Ago,neutral
355,Caitlyn Jenner Forged Olympic Glory and Cultural Fame Decades Ago,surprise
356,Calc maintains lead at AT&T Championship,neutral
357,Calc maintains lead at AT&T Championship,neutral
358,California braces for series of El Nino storms,disgust
359,California braces for series of El Nino storms,fear
360,Campaign stop latest bump in Ryan-Trump relationship,neutral
361,Campaign stop latest bump in Ryan-Trump relationship,neutral
362,Can Apple Win the Battle for Control of Your Living Room?,neutral
363,Can Apple Win the Battle for Control of Your Living Room?,surprise
364,Can Autoworkers Save the Climate?,joy
365,Can Autoworkers Save the Climate?,surprise
366,"Canc¨²n, Cambio Clim¨¢tico y WikiLeaks",neutral
367,"Canc¨²n, Cambio Clim¨¢tico y WikiLeaks",neutral
368,Candente Surges in Lima After Resuming Copper Studies,neutral
369,Candente Surges in Lima After Resuming Copper Studies,surprise
370,Cantor: Suspend US aid to Palestinians,neutral
371,Cantor: Suspend US aid to Palestinians,fear
372,"Cardi B, Drake, and the Art of Sampling Lauryn Hill",neutral
373,"Cardi B, Drake, and the Art of Sampling Lauryn Hill",neutral
374,Cardinal's stem cell comment sparks anger,anger
375,Cardinal's stem cell comment sparks anger,anger
376,Case of US man held as spy in Russia stalls without answers,anger
377,Case of US man held as spy in Russia stalls without answers,fear
378,Case shows hurdles in fighting Morocco corruption,neutral
379,Case shows hurdles in fighting Morocco corruption,neutral
380,Celtic face trip to the Faroes,neutral
381,Celtic face trip to the Faroes,joy
382,"Census religion question flawed and misleading, say humanists",anger
383,"Census religion question flawed and misleading, say humanists",neutral
384,Central Park Five prosecutor Linda Fairstein calls Netflix series an "outright fabrication",disgust
385,Central Park Five prosecutor Linda Fairstein calls Netflix series an "outright fabrication",anger
386,Check out Obama¡¯s pronunciation of what he hails as Japan's greatest gifts to U.S.,surprise
387,Check out Obama¡¯s pronunciation of what he hails as Japan's greatest gifts to U.S.,surprise
388,Chef Compares Support For Restaurateur Accused Of Misconduct To Hurricane Relief,disgust
389,Chef Compares Support For Restaurateur Accused Of Misconduct To Hurricane Relief,disgust
390,Chi Trib Columnist: Hillary Should Replace Obama,surprise
391,Chi Trib Columnist: Hillary Should Replace Obama,neutral
392,Chicago Cubs fans are already jeering Kris Bryant,surprise
393,Chicago Cubs fans are already jeering Kris Bryant,neutral
394,Chick-Fil-A Closing First U.K. Location After Pressure From LGBTQ Activists,sadness
395,Chick-Fil-A Closing First U.K. Location After Pressure From LGBTQ Activists,fear
396,Chick-fil-A opens 5-story restaurant in Manhattan. The New Yorker thinks it¡¯s ¡®creepy.¡¯,neutral
397,Chick-fil-A opens 5-story restaurant in Manhattan. The New Yorker thinks it¡¯s ¡®creepy.¡¯,anger
398,"Chiefs LB fatally shoots girlfriend, kills self in front of coach and GM",anger
399,"Chiefs LB fatally shoots girlfriend, kills self in front of coach and GM",sadness
400,Child-abuse claims against Rockville teacher divide community,disgust
401,Child-abuse claims against Rockville teacher divide community,disgust
402,"Children aged 12, 14 and 17 and an adult are rushed to hospital after being attacked by an American Bulldog in a house in Manchester?",sadness
403,"Children aged 12, 14 and 17 and an adult are rushed to hospital after being attacked by an American Bulldog in a house in Manchester?",neutral
404,Chilling Dissent on Wall Street,fear
405,Chilling Dissent on Wall Street,fear
406,China Fuels Its Ravenous Appetite for Coal ,joy
407,China Fuels Its Ravenous Appetite for Coal ,neutral
408,China Gets Tense: Bans Two U.S. Warships From Visiting Hong Kong,fear
409,China Gets Tense: Bans Two U.S. Warships From Visiting Hong Kong,fear
410,China Stealth Boycott Looms for Taiwan's Biggest Sporting Event,fear
411,China Stealth Boycott Looms for Taiwan's Biggest Sporting Event,anger
412,Christian Film Industry Going Mainstream,neutral
413,Christian Film Industry Going Mainstream,neutral
414,"Christie, Murphy clash over handling of transit issues",neutral
415,"Christie, Murphy clash over handling of transit issues",anger
416,"Cigna Keeps Top Executives, Adds Two New Posts",neutral
417,"Cigna Keeps Top Executives, Adds Two New Posts",neutral
418,Clashes in Sudan Kill Scores in Oil-Rich South,fear
419,Clashes in Sudan Kill Scores in Oil-Rich South,fear
420,Clemson's Brownell looks to build on season,neutral
421,Clemson's Brownell looks to build on season,joy
422,"Clemson, Oregon State basketball teams safe in Barcelona after van crash",surprise
423,"Clemson, Oregon State basketball teams safe in Barcelona after van crash",joy
424,Climate Alarmism Acknowledges Doubt,surprise
425,Climate Alarmism Acknowledges Doubt,surprise
426,Close Read: News of a Kidnapping,fear
427,Close Read: News of a Kidnapping,disgust
428,Close Read: Strange Lands,neutral
429,Close Read: Strange Lands,neutral
430,Coakley And The Amirault Case,neutral
431,Coakley And The Amirault Case,neutral
432,Cochlear Profit Rises on Demand for Nucleus 5 Implant,disgust
433,Cochlear Profit Rises on Demand for Nucleus 5 Implant,surprise
434,Colbert Parodies Sarah Palin¡¯s Nonsensical Facebook Rant Aimed at Hillary Clinton,disgust
435,Colbert Parodies Sarah Palin¡¯s Nonsensical Facebook Rant Aimed at Hillary Clinton,disgust
