,headline,sentiment
61,Mortgage lending in Scotland 'rises sharply',-1
62,My Night With the World¡¯s First Bionic Penis,1
63,My Night With the World¡¯s First Bionic Penis,1
64,NFL Linebacker Sam Acho: 'My Faith in Jesus is Part of Who I Am',1
65,NFL Linebacker Sam Acho: 'My Faith in Jesus is Part of Who I Am',1
66,Nation's Capital Approves Assisted Suicide,-1
67,Nation's Capital Approves Assisted Suicide,-1
68,Nepalese,1
69,Nepalese,1
70,Obama Readies Afghan Escalation,-1
71,Obama Readies Afghan Escalation,-1
72,One Has to Take Sides,1
73,One Has to Take Sides,-1
74,Palm Oil Ends 2010 at Highest in 15 Years on Supply Outlook,1
75,Palm Oil Ends 2010 at Highest in 15 Years on Supply Outlook,1
76,Pessimistic about the US? Warren Buffett isn't.,1
77,Pessimistic about the US? Warren Buffett isn't.,1
78,Poland's PM accuses opposition of obstructing compromise,-1
79,Poland's PM accuses opposition of obstructing compromise,-1
80,Police Halt Activist-Led ¡°Toxic Tour¡± of Spain¡¯s ¡°Dirtiest¡± Corporate Polluters Sponsoring COP25,-1
81,Police Halt Activist-Led ¡°Toxic Tour¡± of Spain¡¯s ¡°Dirtiest¡± Corporate Polluters Sponsoring COP25,-1
82,Postal dis-service,-1
83,Postal dis-service,-1
84,"Pot is 114 Times Safer Than Booze, Says Study",1
85,"Pot is 114 Times Safer Than Booze, Says Study",1
86,Prominent Christian Musician: America Has 'Kicked the Healer' Out and 'It's Time to Invite Him Back In,-1
87,Prominent Christian Musician: America Has 'Kicked the Healer' Out and 'It's Time to Invite Him Back In,-1
88,Putin Needs an Enemy After Berezovsky¡¯s Death ,-1
89,Putin Needs an Enemy After Berezovsky¡¯s Death ,-1
90,Recipe: Whole Wheat Noodles With Spicy Peanut Sauce and Vegetables,1
91,Recipe: Whole Wheat Noodles With Spicy Peanut Sauce and Vegetables,1
92,Reynolds¡¯s New Cigarette Merely Heats Tobacco,1
93,Reynolds¡¯s New Cigarette Merely Heats Tobacco,-1
94,Scientists Spot Signs of Salty Water on Mars,-1
95,Scientists Spot Signs of Salty Water on Mars,1
96,Scientists to uncover secrets of ¡®Jurassic Mile¡¯ this summer,1
97,Scientists to uncover secrets of ¡®Jurassic Mile¡¯ this summer,1
98,Senate fails to move forward on small-business legislation,-1
99,Senate fails to move forward on small-business legislation,-1
100,"Senator Susan Collins Is the Barrier to Transparency, Accountability on Drones",1
101,"Senator Susan Collins Is the Barrier to Transparency, Accountability on Drones",-1
102,South Korea's Satellite Is Not Going to Go Over Well in North Korea,1
103,South Korea's Satellite Is Not Going to Go Over Well in North Korea,-1
104,Suneung: The day silence falls over South Korea,-1
105,Suneung: The day silence falls over South Korea,-1
106,Supreme Court Grants Cert. in Fisher v. Texas,1
107,Supreme Court Grants Cert. in Fisher v. Texas,1
108,Teddy Roosevelt¡¯s Wisdom for Donald Trump,1
109,Teddy Roosevelt¡¯s Wisdom for Donald Trump,-1
110,Tesla (TSLA) will break ground on battery factory next month. But where?,1
111,Tesla (TSLA) will break ground on battery factory next month. But where?,1
112,The Debt That All Cartoonists Owe to ¡°Peanuts¡±,1
113,The Debt That All Cartoonists Owe to ¡°Peanuts¡±,1
114,The Jolly-Sink showdown: What to watch,1
115,The Jolly-Sink showdown: What to watch,-1
116,The Limits of Transparency,-1
117,The Limits of Transparency,-1
118,The Pro-Israel Lobby Battles ¡®Voice of God¡¯ Morgan Freeman Over Iran,-1
119,The Pro-Israel Lobby Battles ¡®Voice of God¡¯ Morgan Freeman Over Iran,-1
120,The Radical Paris Agreement,-1
121,The Radical Paris Agreement,1
122,The Trouble With Afghanistan II,-1
123,The Trouble With Afghanistan II,-1
124,These Refugees Are Being Returned to the Violent Circumstances They Left Behind,-1
125,These Refugees Are Being Returned to the Violent Circumstances They Left Behind,-1
126,This is the Joe Biden you rarely see,-1
127,This is the Joe Biden you rarely see,-1
128,Thousands of Somali Immigrants Detained by Police in Kenya,-1
129,Thousands of Somali Immigrants Detained by Police in Kenya,-1
130,Trump Restores UK to the Front of the Queue,-1
131,Trump Restores UK to the Front of the Queue,1
132,U.S. Sanctions Are Driving Iran to Tighten Its Grip on Iraq,-1
133,U.S. Sanctions Are Driving Iran to Tighten Its Grip on Iraq,-1
134,U.S. Senate Advances Extension of Patriot Act Wiretap Power,-1
135,U.S. Senate Advances Extension of Patriot Act Wiretap Power,-1
136,US Confirms Death of Militant Involved in USS Cole Bombing,-1
137,US Confirms Death of Militant Involved in USS Cole Bombing,-1
138,US: UN should provide detailed reports on Iran nuke program,-1
139,US: UN should provide detailed reports on Iran nuke program,-1
140,Walter Olson on the Madness of Truancy Laws,-1
141,Walter Olson on the Madness of Truancy Laws,1
142,Wear These Earplugs If You Don¡¯t Want to Go Deaf At Concerts and Sporting Events,1
143,Wear These Earplugs If You Don¡¯t Want to Go Deaf At Concerts and Sporting Events,1
144,¡®O Mour?o vai ser presidente da Rep¨²blica¡¯. Um drink com o mentor do vice de Bolsonaro,1
145,¡®O Mour?o vai ser presidente da Rep¨²blica¡¯. Um drink com o mentor do vice de Bolsonaro,1
146,¡°Adversary¡± Examines Trump¡¯s Mini-Me Carl Paladino ¡ª and How to Beat Trumpism,-1
147,¡°Adversary¡± Examines Trump¡¯s Mini-Me Carl Paladino ¡ª and How to Beat Trumpism,-1
